Elapsed,Temp,Latency,Mode
0.0,44.66,3359.82,2
1.02,44.38,3407.14,2
2.03,44.75,3407.14,2
3.05,45.0,3407.14,2
4.06,45.44,3407.14,2
5.08,45.12,3412.6,2
6.1,45.62,3412.6,2
7.11,45.62,3412.6,2
8.13,44.97,3399.6,2
9.14,45.75,3399.6,2
10.16,45.84,3399.6,2
11.17,45.59,3303.38,2
12.19,46.03,3303.38,2
13.21,46.19,3303.38,2
14.22,46.31,3303.38,2
15.24,46.41,3478.95,2
16.26,46.56,3478.95,2
17.27,46.75,3478.95,2
18.29,46.28,3696.85,2
19.3,47.09,3696.85,2
20.32,47.09,3696.85,2
21.34,47.09,3696.85,2
22.35,47.12,3374.94,2
23.37,47.44,3374.94,2
24.38,47.47,3374.94,2
25.4,47.47,3362.53,2
26.41,47.56,3362.53,2
27.43,47.81,3362.53,2
28.44,47.44,3363.06,2
29.46,48.03,3363.06,2
30.47,48.12,3363.06,2
31.48,48.28,3363.06,2
32.5,48.5,3411.72,2
33.51,48.53,3411.72,2
34.53,48.62,3411.72,2
35.54,48.47,3325.21,2
36.55,49.0,3325.21,2
37.57,49.09,3325.21,2
38.59,48.47,3376.05,2
39.6,49.16,3376.05,2
40.62,49.22,3376.05,2
41.63,49.41,3376.05,2
42.65,49.44,3365.51,2
43.67,49.56,3365.51,2
44.68,50.0,3365.51,2
45.7,49.62,3391.18,2
46.72,50.25,3391.18,2
47.73,50.22,3391.18,2
48.74,49.56,3406.45,2
49.76,50.25,3406.45,2
50.77,50.78,3406.45,2
51.79,50.62,3406.45,2
52.8,50.5,3343.58,2
53.82,50.84,3343.58,2
54.83,50.88,3343.58,2
55.85,50.69,3420.34,2
56.86,51.0,3420.34,2
57.88,51.41,3420.34,2
58.89,50.81,3417.02,2
59.91,51.38,3417.02,2
60.92,51.34,3417.02,2
61.94,51.78,3417.02,2
62.95,51.47,3343.07,2
63.97,52.03,3343.07,2
64.98,51.91,3343.07,2
65.99,51.94,3344.05,2
67.0,52.38,3344.05,2
68.02,52.34,3344.05,2
69.03,51.62,3357.47,2
70.05,52.44,3357.47,2
71.06,52.88,3357.47,2
72.07,52.59,3357.47,2
73.09,52.59,3391.68,2
74.1,52.69,3391.68,2
75.12,52.94,3391.68,2
76.13,52.84,3411.21,2
77.15,53.56,3411.21,2
78.16,53.44,3411.21,2
79.18,52.78,3363.0,2
80.19,53.5,3363.0,2
81.2,54.06,3363.0,2
82.22,53.66,3363.0,2
83.24,53.97,3372.4,2
84.25,53.91,3372.4,2
85.27,53.97,3372.4,2
86.28,53.91,3423.23,2
87.29,54.34,3423.23,2
88.31,54.41,3423.23,2
89.33,53.72,3385.5,2
90.34,54.66,3385.5,2
91.35,54.56,3385.5,2
92.37,54.75,3385.5,2
93.38,54.53,3393.66,2
94.4,55.06,3393.66,2
95.41,55.0,3393.66,2
96.43,55.22,3366.08,2
97.44,55.34,3366.08,2
98.46,55.41,3366.08,2
99.47,54.69,3420.03,2
100.49,55.75,3420.03,2
101.5,55.66,3420.03,2
102.51,55.72,3420.03,2
103.52,55.84,3382.61,2
104.54,55.84,3382.61,2
105.55,56.09,3382.61,2
106.57,55.97,3385.61,2
107.58,56.03,3385.61,2
108.6,56.12,3385.61,2
109.61,55.97,3444.42,2
110.63,56.22,3444.42,2
111.65,56.72,3444.42,2
112.66,56.66,3449.71,2
113.68,56.41,3301.54,2
114.69,56.81,3301.54,2
115.71,56.78,3301.54,2
116.72,56.72,3436.66,2
117.74,57.28,3436.66,2
118.75,57.16,3436.66,2
119.77,57.22,3436.66,2
