Elapsed,Temp,Latency,Mode
0.0,43.03,0.0,0
1.01,43.72,0.0,0
2.02,44.19,0.0,0
3.04,44.28,0.0,0
4.05,44.34,3455.98,0
5.06,44.47,3455.98,0
6.07,44.53,3455.98,0
7.08,44.25,3432.27,0
8.09,44.44,3432.27,0
9.1,44.56,3432.27,0
10.11,44.69,3432.27,0
11.12,44.91,3371.88,0
12.13,44.88,3371.88,0
13.14,45.28,3371.88,0
14.15,44.81,3425.57,0
15.16,45.53,3425.57,0
16.17,45.56,3425.57,0
17.18,45.16,3404.02,0
18.19,45.56,3404.02,0
19.2,45.81,3404.02,0
20.21,45.91,3404.02,0
21.22,45.94,3343.91,0
22.23,46.12,3343.91,0
23.24,46.38,3343.91,0
24.25,46.41,3343.91,0
25.26,46.5,4276.06,0
26.27,46.66,4276.06,0
27.28,47.09,4276.06,0
28.29,46.47,3405.54,0
29.3,47.12,3405.54,0
30.31,47.12,3405.54,0
31.32,47.66,3405.54,0
32.33,47.25,3377.98,0
33.34,47.5,3377.98,0
34.35,47.59,3377.98,0
35.36,47.81,3377.98,0
36.37,47.69,4336.22,0
37.38,48.06,4336.22,0
38.39,48.12,4336.22,0
39.4,47.91,3384.21,0
40.41,48.25,3384.21,0
41.42,48.69,3384.21,0
42.43,48.56,3385.28,0
43.44,48.88,3337.53,0
44.45,48.84,3337.53,0
45.46,49.28,3337.53,0
46.47,48.97,3349.15,0
47.48,49.31,3349.15,0
48.49,49.34,3349.15,0
49.5,48.88,3370.18,0
50.51,49.62,3370.18,0
51.52,49.88,3370.18,0
52.53,50.09,3370.18,0
53.54,50.06,3409.82,0
54.55,50.56,3409.82,0
55.56,50.44,3409.82,0
56.57,49.62,3555.56,0
57.58,50.69,3555.56,0
58.59,50.66,3555.56,0
59.6,50.56,3442.18,0
60.61,50.78,3442.18,0
61.62,50.97,3442.18,0
62.63,51.03,3442.18,0
63.64,51.16,3401.99,0
64.65,51.41,3401.99,0
65.66,51.5,3401.99,0
66.67,51.06,3361.0,0
67.68,51.81,3361.0,0
68.69,52.16,3361.0,0
69.7,51.84,3361.0,0
70.71,52.34,3388.69,0
71.72,52.03,3388.69,0
72.73,52.12,3388.69,0
73.74,52.31,3413.61,0
74.75,52.44,3413.61,0
75.76,52.69,3413.61,0
76.77,52.03,3381.93,0
77.78,52.94,3381.93,0
78.79,53.16,3381.93,0
79.8,53.06,3381.93,0
80.81,53.25,3364.04,0
81.82,53.25,3364.04,0
82.83,53.62,3364.04,0
83.84,53.38,3339.95,0
84.85,54.06,3339.95,0
85.86,53.75,3339.95,0
86.87,53.16,3411.34,0
87.88,53.88,3411.34,0
88.89,54.0,3411.34,0
89.9,54.16,3411.34,0
90.91,54.34,3395.17,0
91.92,54.38,3395.17,0
92.93,54.69,3395.17,0
93.94,54.44,3383.37,0
94.95,55.0,3383.37,0
95.96,54.78,3383.37,0
96.97,54.69,3374.3,0
97.98,54.94,3374.3,0
98.99,55.38,3374.3,0
100.0,55.16,3374.3,0
101.01,55.59,3358.83,0
102.02,55.38,3358.83,0
103.03,55.59,3358.83,0
104.04,55.41,3339.23,0
105.05,55.84,3339.23,0
106.06,55.91,3339.23,0
107.07,55.41,3375.58,0
108.08,55.88,3375.58,0
109.09,56.25,3375.58,0
110.1,56.19,3375.58,0
111.11,56.44,3407.03,0
112.12,56.31,3407.03,0
113.13,56.81,3407.03,0
114.14,56.22,3422.0,0
115.15,57.0,3422.0,0
116.15,56.69,3422.0,0
117.16,56.44,3370.6,0
118.17,56.91,3370.6,0
119.18,57.12,3370.6,0
120.19,57.19,3330.31,0
121.2,57.19,3298.08,0
122.21,57.62,3298.08,0
123.22,57.5,3298.08,0
124.23,57.66,3303.24,0
125.24,57.69,3303.24,0
126.25,57.56,3303.24,0
127.27,57.31,3381.16,0
128.28,57.78,3381.16,0
129.29,58.22,3381.16,0
130.3,57.81,3282.0,0
131.31,58.34,3357.82,0
132.32,58.22,3357.82,0
133.33,58.59,3357.82,0
134.34,58.25,3324.31,0
135.35,58.53,3324.31,0
136.36,58.59,3324.31,0
137.37,58.09,3359.93,0
138.38,58.62,3359.93,0
139.39,58.69,3359.93,0
140.4,59.22,3381.73,0
141.41,58.94,3385.04,0
142.42,58.84,3385.04,0
143.43,59.22,3385.04,0
144.44,58.97,3989.8,0
145.45,59.38,3989.8,0
146.46,59.22,3989.8,0
147.47,59.44,3989.8,0
148.48,59.31,3300.84,0
149.49,59.56,3300.84,0
150.5,59.62,3300.84,0
151.5,59.41,3388.44,0
152.51,60.03,3388.44,0
153.53,59.88,3388.44,0
154.54,59.72,3254.24,0
155.54,60.09,3254.24,0
156.55,60.47,3254.24,0
157.56,60.16,3254.24,0
158.57,60.12,3320.71,0
159.58,60.28,3320.71,0
160.59,60.41,3320.71,0
161.6,60.19,3353.41,0
162.61,60.47,3353.41,0
163.62,60.66,3353.41,0
164.63,60.34,3395.62,0
165.65,60.66,3395.62,0
166.66,61.0,3395.62,0
167.67,60.91,3395.62,0
168.68,61.16,3378.82,0
169.69,61.09,3378.82,0
170.7,61.47,3378.82,0
171.71,60.91,3394.73,0
172.72,61.5,3394.73,0
173.73,61.22,3394.73,0
174.74,61.22,3423.74,0
175.75,61.53,3423.74,0
176.76,61.5,3423.74,0
177.77,61.62,3423.74,0
178.78,61.38,3448.17,0
179.79,61.66,3448.17,0
180.8,61.88,3448.17,0
181.81,61.22,3367.39,0
182.81,62.09,3367.39,0
183.82,62.0,3367.39,0
184.83,62.19,3353.79,0
185.84,61.97,3353.79,0
186.85,62.25,3353.79,0
187.86,62.19,3353.79,0
188.87,61.62,3700.07,0
189.88,62.62,3700.07,0
190.89,62.47,3700.07,0
191.9,62.56,3443.29,0
192.91,62.53,3443.29,0
193.92,63.03,3443.29,0
194.93,62.81,3443.29,0
195.94,62.66,3406.23,0
196.95,62.78,3406.23,0
197.96,62.94,3406.23,0
198.97,62.38,3319.51,0
199.98,62.84,3319.51,0
200.99,62.84,3319.51,0
202.0,63.03,3319.51,0
203.01,62.44,4168.77,0
204.02,63.44,4168.77,0
205.03,63.28,4168.77,0
206.04,63.38,3310.96,0
207.05,63.38,3374.96,0
208.06,63.94,3374.96,0
209.07,63.53,3374.96,0
210.07,63.5,3303.02,0
211.09,63.53,3303.02,0
212.1,63.78,3303.02,0
213.11,63.22,3369.23,0
214.11,63.94,3369.23,0
215.13,64.06,3369.23,0
216.14,64.09,3365.67,0
217.17,64.12,3365.67,0
218.18,64.31,3365.67,0
219.19,64.53,3057.45,0
220.2,64.38,3234.88,0
221.21,64.81,3234.88,0
222.22,64.44,3234.88,0
223.23,64.41,3343.57,0
224.24,64.56,3343.57,0
225.25,64.69,3343.57,0
226.26,64.22,3297.92,0
227.27,64.62,3297.92,0
228.28,64.78,3297.92,0
229.29,64.94,3297.92,0
230.3,64.81,3529.0,0
231.31,65.06,3529.0,0
232.32,64.97,3529.0,0
233.33,64.53,3492.56,0
234.34,64.91,3492.56,0
235.35,65.28,3492.56,0
236.36,64.97,3335.35,0
237.37,65.09,3335.35,0
238.38,65.22,3335.35,0
239.39,65.25,3335.35,0
240.4,65.22,3335.35,0
241.41,65.47,4251.81,0
242.42,65.75,4251.81,0
243.43,65.62,4251.81,0
244.44,65.59,3466.29,0
245.45,65.69,3466.29,0
246.45,65.56,3466.29,0
247.47,65.31,3289.53,0
248.48,65.62,3289.53,0
249.49,65.78,3289.53,0
250.5,65.62,3289.53,0
251.51,65.72,3696.22,0
252.52,65.97,3696.22,0
253.53,66.0,3696.22,0
254.54,65.53,3328.73,0
255.55,66.09,3328.73,0
256.56,66.09,3328.73,0
257.57,66.28,3328.73,0
258.58,66.22,3340.76,0
259.59,66.47,3340.76,0
260.6,66.59,3340.76,0
261.61,66.41,3344.95,0
262.62,66.34,3344.95,0
263.63,66.56,3344.95,0
264.64,66.41,3344.95,0
265.65,66.69,4228.36,0
266.66,66.47,4228.36,0
267.67,66.94,4228.36,0
268.68,66.69,3289.94,0
269.69,66.75,3703.63,0
270.7,66.84,3703.63,0
271.71,66.62,2931.37,0
272.72,66.75,3635.6,0
