Elapsed,Temp,Latency,Mode
0.0,50.41,0.0,0
1.02,51.78,0.0,0
2.03,52.16,0.0,0
3.05,52.47,0.0,0
4.06,52.34,3346.0,0
5.08,52.81,3346.0,0
6.15,52.81,3346.0,0
7.17,52.72,3340.4,0
8.18,53.0,3340.4,0
9.2,53.09,3340.4,0
10.21,53.06,3372.77,0
11.23,53.28,3372.77,0
12.25,53.91,3372.77,0
13.26,53.69,3372.77,0
14.28,54.0,3433.31,0
15.29,54.09,3433.31,0
16.31,54.09,3433.31,0
17.32,53.81,3392.29,0
18.34,54.31,3392.29,0
19.35,54.31,3392.29,0
20.36,54.5,3392.29,0
21.38,54.38,3920.83,0
22.4,54.84,3920.83,0
23.41,55.06,3920.83,0
24.43,54.22,3409.74,0
25.44,55.25,3409.74,0
26.45,55.31,3409.74,0
27.47,55.38,3409.74,0
28.48,55.28,3403.68,0
29.5,55.91,3403.68,0
30.51,55.78,3403.68,0
31.53,55.84,3504.78,0
32.54,55.91,3504.78,0
33.56,56.0,3504.78,0
34.57,55.34,3343.48,0
35.59,55.88,3343.48,0
36.6,56.41,3343.48,0
37.62,56.31,3343.48,0
38.63,56.47,3368.4,0
39.65,56.66,3368.4,0
40.66,56.59,3368.4,0
41.68,56.19,3487.78,0
42.69,57.25,3487.78,0
43.7,57.09,3487.78,0
44.71,57.28,3424.15,0
45.73,57.38,3424.15,0
46.74,57.19,3424.15,0
47.75,57.44,3424.15,0
48.77,57.5,3540.1,0
49.78,57.78,3540.1,0
50.8,57.75,3540.1,0
51.81,57.38,3458.1,0
52.82,57.72,3458.1,0
53.84,58.09,3458.1,0
54.85,57.94,3458.1,0
55.87,58.25,3346.42,0
56.89,58.28,3346.42,0
57.9,58.22,3346.42,0
58.92,58.06,3367.99,0
59.94,58.44,3367.99,0
60.95,58.53,3367.99,0
61.97,58.53,3444.94,0
62.98,58.59,3444.94,0
64.0,58.97,3444.94,0
65.01,58.88,3444.94,0
66.03,59.22,3439.24,0
67.04,59.25,3439.24,0
68.06,59.25,3439.24,0
69.08,59.03,3400.31,0
70.09,59.25,3400.31,0
71.11,59.34,3400.31,0
72.12,58.88,3419.37,0
73.14,59.66,3419.37,0
74.15,59.66,3419.37,0
75.17,59.59,3419.37,0
76.18,59.78,3447.42,0
77.2,59.72,3447.42,0
78.21,59.84,3447.42,0
79.23,59.75,3692.54,0
80.24,60.09,3692.54,0
81.26,60.22,3692.54,0
82.27,60.19,3692.54,0
83.28,60.5,3511.93,0
84.3,60.44,3511.93,0
85.31,60.88,3511.93,0
86.33,60.41,3416.62,0
87.34,60.56,3416.62,0
88.36,60.59,3416.62,0
89.37,60.25,3336.47,0
90.39,60.75,3336.47,0
91.4,60.84,3336.47,0
92.42,61.12,3336.47,0
93.43,61.06,3338.72,0
94.45,61.22,3338.72,0
95.46,60.97,3338.72,0
96.48,60.88,3754.22,0
97.49,61.31,3754.22,0
98.51,61.53,3754.22,0
99.53,61.56,3754.22,0
100.54,61.5,3454.59,0
101.55,61.53,3454.59,0
102.57,62.06,3454.59,0
103.58,61.66,3380.28,0
104.6,61.91,3380.28,0
105.61,62.0,3380.28,0
106.63,61.62,3358.87,0
107.64,61.91,3358.87,0
108.66,61.94,3358.87,0
109.67,62.28,3358.87,0
110.69,62.19,3432.46,0
111.7,62.44,3432.46,0
112.72,62.38,3432.46,0
113.73,62.12,3388.85,0
114.77,62.56,3388.85,0
115.78,62.59,3388.85,0
116.8,62.5,3416.14,0
117.81,62.97,3416.14,0
118.83,62.72,3416.14,0
119.84,63.09,3052.87,0
120.86,62.91,3541.6,0
121.87,63.09,3541.6,0
122.89,63.09,3011.5,0
123.9,63.19,3422.22,0
124.92,63.22,3422.22,0
125.93,63.34,3404.29,0
126.95,63.38,3216.31,0
127.96,63.56,3216.31,0
128.98,63.38,3202.22,0
129.99,63.34,3202.22,0
131.01,63.62,3678.45,0
132.02,63.66,3678.45,0
133.04,63.91,3317.31,0
134.05,63.69,3244.69,0
135.06,63.75,3244.69,0
136.08,63.81,3143.93,0
137.1,64.06,3105.94,0
138.11,64.09,3105.94,0
139.13,64.06,3476.19,0
140.14,64.16,3476.19,0
141.16,64.16,3628.43,0
142.17,64.16,3628.43,0
143.19,64.66,3631.52,0
144.2,64.34,3631.52,0
145.37,64.41,3735.5,0
146.39,64.47,3012.32,0
147.4,64.53,3012.32,0
148.42,64.56,3422.75,0
149.43,64.84,3631.6,0
150.45,64.62,3631.6,0
151.46,64.69,3445.22,0
152.48,64.81,3445.22,0
153.49,65.19,3606.42,0
154.51,65.03,3063.01,0
155.52,65.09,3063.01,0
156.53,65.06,3269.53,0
157.55,65.09,3172.51,0
158.56,65.28,3172.51,0
159.58,65.22,3172.51,0
160.59,65.25,3250.04,0
161.61,65.38,3250.04,0
162.62,65.38,3250.04,0
163.64,65.41,3189.62,0
164.65,65.91,3371.71,0
165.67,65.47,3371.71,0
166.69,66.0,3074.43,0
167.7,65.81,3243.57,0
168.72,66.03,3243.57,0
169.74,65.97,3409.47,0
170.76,66.0,3334.91,0
171.77,65.78,3334.91,0
172.79,66.34,3372.28,0
173.81,66.0,3133.52,0
174.82,66.31,3133.52,0
175.83,66.0,3112.52,0
176.84,66.09,3112.52,0
177.85,66.19,3561.16,0
178.86,66.22,3561.16,0
179.87,66.41,3534.59,0
180.89,66.41,3449.36,0
181.9,66.56,3449.36,0
182.91,66.5,3116.4,0
183.92,66.62,3116.4,0
184.93,66.69,3349.94,0
185.94,66.88,3144.27,0
186.95,66.91,3144.27,0
187.96,66.94,3770.16,0
188.97,67.06,3257.67,0
189.98,67.03,3257.67,0
190.99,67.12,3257.67,0
192.0,67.03,3415.7,0
193.01,67.03,3286.31,0
194.02,67.28,3286.31,0
195.03,67.0,3440.21,0
196.04,67.41,3469.96,0
197.05,67.22,3469.96,0
198.06,67.47,3469.96,0
199.07,66.78,3242.1,0
200.08,67.75,3242.1,0
201.1,67.81,3242.1,0
202.11,67.56,3291.59,0
203.12,67.44,3291.59,0
204.13,67.78,3291.59,0
205.14,67.81,3291.59,0
206.15,67.72,3402.94,0
207.16,68.12,3402.94,0
208.17,68.09,3402.94,0
209.18,68.12,3222.81,0
210.19,68.09,3222.81,0
211.2,68.06,3222.81,0
212.22,68.12,3272.21,0
213.23,68.31,3272.21,0
214.24,68.22,3272.21,0
215.25,68.28,3407.84,0
216.26,68.56,3309.06,0
217.27,68.53,3309.06,0
218.28,68.53,3309.06,0
219.29,68.16,3279.85,0
220.3,68.41,3279.85,0
221.31,68.44,3279.85,0
222.32,67.97,3428.44,0
223.33,68.62,3428.44,0
224.34,68.88,3428.44,0
225.35,68.62,3428.44,0
226.36,68.75,3402.84,0
227.37,68.72,3402.84,0
228.38,68.94,3402.84,0
